	ds	y
0	2017-01-01	12915.81595127952
1	2017-01-02	15791.05
2	2017-01-03	9617.71
3	2017-01-04	15224.95
4	2017-01-05	19332.93
5	2017-01-06	18018.87
6	2017-01-07	31977.15
7	2017-01-08	30884.354288738683
8	2017-01-09	13675.12
9	2017-01-10	9143.41
10	2017-01-11	55083.53
11	2017-01-12	31968.43
12	2017-01-13	34346.89
13	2017-01-14	67204.95
14	2017-01-15	12281.3
15	2017-01-16	24911.54
16	2017-01-17	21503.39
17	2017-01-18	19626.51
18	2017-01-19	14405.2
19	2017-01-20	19759.35
20	2017-01-21	49319.31
21	2017-01-22	38503.611271517926
22	2017-01-23	13617.76
23	2017-01-24	13529.77
24	2017-01-25	16083.44
25	2017-01-26	13768.2
26	2017-01-27	17360.65
27	2017-01-28	43779.42
28	2017-01-29	39333.71002217072
29	2017-01-30	19415.23
30	2017-01-31	14352.69
31	2017-02-01	19488.26
32	2017-02-02	19971.96
33	2017-02-03	19150.55
34	2017-02-04	45521.07
35	2017-02-05	30.0
36	2017-02-06	16115.73
37	2017-02-07	16802.05
38	2017-02-08	18873.41
39	2017-02-09	18402.1
40	2017-02-10	19263.43
41	2017-02-11	43416.28
42	2017-02-12	-358.84
43	2017-02-13	23262.01
44	2017-02-14	14730.98
45	2017-02-15	17025.29
46	2017-02-16	15069.83
47	2017-02-17	17514.91
48	2017-02-18	44709.45
49	2017-02-19	240.0
50	2017-02-20	17689.34
51	2017-02-21	18629.46
52	2017-02-22	15355.92
53	2017-02-23	14934.42
54	2017-02-24	18751.08
55	2017-02-25	41101.94
56	2017-02-26	37177.235338806335
57	2017-02-27	19540.4
58	2017-02-28	13916.92
59	2017-03-01	17680.52
60	2017-03-02	17461.6
61	2017-03-03	20290.76
62	2017-03-04	38682.62
63	2017-03-05	1080.0
64	2017-03-06	15475.84
65	2017-03-07	15501.47
66	2017-03-08	17549.55
67	2017-03-09	15059.8
68	2017-03-10	18820.76
69	2017-03-11	49934.38
70	2017-03-12	30.0
71	2017-03-13	19727.96
72	2017-03-14	16527.98
73	2017-03-15	19001.53
74	2017-03-16	21445.27
75	2017-03-17	21112.17
76	2017-03-18	44801.38
77	2017-03-19	37940.75300210935
78	2017-03-20	16551.13
79	2017-03-21	13349.02
80	2017-03-22	22070.7
81	2017-03-23	16529.91
82	2017-03-24	12808.69
83	2017-03-25	46700.53
84	2017-03-26	41335.7770389316
85	2017-03-27	16972.32
86	2017-03-28	13637.06
87	2017-03-29	18097.44
88	2017-03-30	18766.18
89	2017-03-31	17195.64
90	2017-04-01	49737.75
91	2017-04-02	45904.05914637342
92	2017-04-03	23022.31
93	2017-04-04	17901.6
94	2017-04-05	21559.85
95	2017-04-06	24936.96
96	2017-04-07	25051.77
97	2017-04-08	40618.11
98	2017-04-09	39487.435100185525
99	2017-04-10	27814.41
100	2017-04-11	23345.58
101	2017-04-12	27428.98
102	2017-04-13	24626.78
103	2017-04-14	28113.56
104	2017-04-15	46948.2
105	2017-04-16	31679.34421304704
106	2017-04-17	12242.65
107	2017-04-18	21642.63
108	2017-04-19	21722.14
109	2017-04-20	18018.16
